Row,Ast,End,Ex,In,Mic,Oli,Opc,Per
HTRA4,0.00216333153055706,0.0136986301369863,0.00414342629482072,0.000858922052823706,0.00195503421309873,0.000317796610169492,0.00778210116731518,0
TM2D2,0.0237966468361276,0.0273972602739726,0.102045152722444,0.0715052608975735,0.0136852394916911,0.00985169491525424,0.0326848249027237,0.0210526315789474
ADAM9,0.0497566252028123,0.301369863013699,0.289880478087649,0.136353875885763,0.115347018572825,0.0414194915254237,0.104280155642023,0.136842105263158
ADAM32,0.0259599783666847,0.0547945205479452,0.161168658698539,0.0852480137427528,0.010752688172043,0.0135593220338983,0.0560311284046693,0.0315789473684211
ADAM18,0.00703082747431044,0.0136986301369863,0.0128021248339973,0.0073008374490015,0.00293255131964809,0.0038135593220339,0.0116731517509728,0
ADAM2,0.00108166576527853,0,0.00212483399734396,0.00171784410564741,0,0.000211864406779661,0.000778210116731518,0
IDO1,0.00594916170903191,0,0.0155644090305445,0.00944814258106077,0.00195503421309873,0.00338983050847458,0.00778210116731518,0.0105263157894737
IDO2,0.00108166576527853,0,0.00552456839309429,0.00601245436976594,0,0.00116525423728814,0.00311284046692607,0.0105263157894737
C8orf4,0.00216333153055706,0.0136986301369863,0.0104116865869854,0.179085248013743,0,0.0123940677966102,0.00155642023346304,0.0210526315789474
ZMAT4,0.0216333153055706,0,1.11665338645418,1.49753059909813,0.00391006842619746,0.00932203389830509,0.0217898832684825,0.0210526315789474
SFRP1,0.00432666306111412,0.0410958904109589,0.00467463479415671,0.0833154391238995,0.000977517106549365,0.0538135593220339,0.0140077821011673,0.0210526315789474
GOLGA7,0.0486749594375338,0.0410958904109589,0.176839309428951,0.102641185312433,0.0127077223851417,0.170974576271186,0.0793774319066148,0.0210526315789474
GINS4,0.00324499729583559,0,0.00154050464807437,0.00236203564526519,0.000977517106549365,0.00741525423728814,0.00233463035019455,0
GPAT4,0.0313683071930773,0,0.156334661354582,0.124114236633026,0.0283479960899316,0.0382415254237288,0.0583657587548638,0.0421052631578947
NKX6-3,0,0,0.000584329349269588,0.0100923341206785,0,0,0,0
ANK1,0.0113574905354246,0,0.100717131474104,0.920549710113807,0.00391006842619746,0.00614406779661017,0.0249027237354086,0.0210526315789474
KAT6A,0.230394808004327,0.452054794520548,0.428366533864542,0.326175649559802,0.208211143695015,0.211758474576271,0.274708171206226,0.178947368421053
AP3M2,0.0486749594375338,0.0273972602739726,0.301620185922975,0.23298260682843,0.0175953079178886,0.0216101694915254,0.0607003891050584,0.0526315789473684
PLAT,0.0091941590048675,0.164383561643836,0.0186985391766268,0.0214730513205927,0.0224828934506354,0.0024364406779661,0.228793774319066,0.0421052631578947
